,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2
341,2043-06-16,289.4977,287.58337,287.59033,288.55157,290.62967,291.16058
342,2043-07-16,292.2642,293.99066,293.68912,294.56638,292.1602,292.8577
343,2043-08-16,296.03424,291.69757,292.02365,293.6404,292.53455,293.76178
344,2043-09-16,289.9826,290.30646,290.04663,288.68024,288.11832,289.4955
345,2043-10-16,288.2225,287.7162,287.7003,284.97546,285.3686,287.46603
346,2043-11-16,281.97946,283.25912,282.2739,281.76837,280.80807,282.42807
347,2043-12-16,280.38687,281.7668,279.64185,278.73953,277.91473,279.42264
348,2044-01-16,280.72488,280.04636,278.71036,276.0479,277.3183,277.0102
349,2044-02-15,279.54,279.66763,278.36255,278.8447,279.4679,279.08627
350,2044-03-16,278.81924,279.87994,278.948,279.67773,280.2266,278.83
